,Indicator,Type,Organization,Rating,Confidence,DateAdded,Description,Source,Tags
0,36.89.98.183,Address,abuse.ch Feodo Tracker,3.0,50,2021-08-01T22:15:02Z,0,0,0
1,103.253.107.156,Address,abuse.ch Feodo Tracker,3.0,50,2021-08-01T22:15:02Z,0,0,0
2,103.140.207.110,Address,abuse.ch Feodo Tracker,3.0,50,2021-08-01T22:15:02Z,0,0,0
3,116.203.25.236,Address,abuse.ch Feodo Tracker,3.0,50,2021-08-01T22:15:02Z,0,0,0
4,103.109.247.13,Address,abuse.ch Feodo Tracker,3.0,50,2021-08-01T22:15:02Z,0,0,0
5,197.156.129.250,Address,abuse.ch Feodo Tracker,3.0,50,2021-08-01T22:15:02Z,0,0,0
6,70.50.107.129,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
7,177.36.13.83,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
8,187.170.236.64,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
9,88.12.55.186,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
10,138.197.174.231,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
11,192.140.87.193,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
12,82.156.203.182,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
13,1.117.104.152,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
14,103.198.11.204,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
15,1.83.158.148,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
16,1.15.64.138,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
17,47.9.112.142,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
18,54.39.226.32,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
19,124.121.191.41,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
20,192.140.29.161,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
21,163.172.177.22,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
22,68.183.121.81,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
23,49.234.22.34,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
24,180.241.46.255,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
25,116.98.168.221,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
26,45.249.82.213,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
27,107.189.1.130,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
28,194.163.135.121,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
29,177.10.240.254,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
30,106.75.168.32,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
31,198.204.225.194,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
32,1.117.159.163,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
33,176.123.10.208,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
34,45.6.27.217,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
35,134.122.57.194,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
36,196.0.122.222,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
37,111.192.97.143,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
38,113.128.35.183,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
39,198.12.86.54,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
40,116.110.64.173,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
41,221.124.122.47,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
42,93.183.151.72,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
43,181.174.144.78,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
44,209.141.43.141,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
45,117.66.140.22,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
46,138.36.201.159,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
47,205.185.122.230,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
48,116.99.165.230,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
49,124.122.65.245,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
50,205.185.114.57,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
51,51.222.85.90,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
52,177.129.206.31,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
53,209.141.42.210,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
54,171.96.100.5,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
55,205.185.121.155,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
56,181.234.11.225,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
57,113.242.110.92,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
58,82.174.167.95,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
59,42.193.16.158,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
60,118.99.76.128,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
61,116.105.193.21,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
62,124.120.80.23,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
63,176.42.38.177,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
64,116.179.37.14,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
65,149.56.200.202,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
66,1.14.43.165,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
67,118.136.53.24,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
68,209.141.45.246,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
69,122.181.122.95,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
70,49.232.158.212,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
71,209.141.40.210,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
72,186.7.21.171,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
73,175.139.227.242,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
74,70.184.221.106,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
75,165.232.177.211,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
76,205.185.122.135,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
77,180.184.64.121,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
78,158.101.88.5,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
79,182.99.223.110,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
80,105.155.254.205,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
81,36.63.83.112,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
82,213.202.238.24,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
83,188.127.230.100,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
84,200.232.15.41,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
85,168.138.51.203,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
86,115.73.37.63,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
87,210.16.88.214,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
88,42.201.212.2,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
89,41.218.196.141,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
90,186.154.37.215,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
91,220.181.108.184,Address,Rutgers Attacker IPs,3.0,89,2021-08-02T02:50:02Z,0,0,0
